,STATION,NAME,DATE,PRCP
132,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-01-01,3.9
133,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-02-01,1.89
134,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-03-01,3.45
135,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-04-01,4.54
136,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-05-01,3.17
137,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-06-01,4.31
138,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-07-01,8.81
139,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-08-01,3.06
140,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-09-01,4.24
141,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-10-01,5.81
142,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-11-01,2.3
143,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1996-12-01,6.01
144,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1997-01-01,2.37
145,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1997-02-01,2.22
146,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1997-03-01,4.49
147,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1997-04-01,3.56
148,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1997-05-01,3.21
149,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1997-06-01,1.79
150,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1997-07-01,5.55
151,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1997-08-01,5.95
152,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1997-09-01,1.3
153,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1997-10-01,1.93
154,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1997-11-01,4.06
155,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1997-12-01,3.45
156,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1998-01-01,5.06
157,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1998-02-01,3.3
158,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1998-03-01,4.79
159,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1998-04-01,4.74
160,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1998-05-01,5.59
161,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",1998-06-01,5.63
