,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP
123,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1995-04-01,1.43
124,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1995-05-01,8.98
125,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1995-06-01,0.75
126,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1995-07-01,1.17
127,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1995-08-01,1.33
128,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1995-09-01,1.31
129,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1995-10-01,0.18
130,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1995-11-01,0.19
131,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1995-12-01,0.44
132,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1996-01-01,0.37
133,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1996-02-01,0.08
134,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1996-03-01,1.3
135,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1996-04-01,0.7
136,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1996-05-01,7.04
137,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1996-06-01,4.33
138,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1996-07-01,5.13
139,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1996-08-01,5.06
140,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1996-09-01,3.11
141,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1996-10-01,0.94
142,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1996-11-01,3.7
143,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1996-12-01,0.03
144,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1997-01-01,0.0
145,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1997-02-01,0.71
146,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1997-03-01,0.01
147,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1997-04-01,2.58
148,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1997-05-01,1.56
149,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1997-06-01,4.35
150,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1997-07-01,3.45
151,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1997-08-01,6.32
152,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1997-09-01,2.04
153,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1997-10-01,2.53
154,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1997-11-01,0.16
155,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1997-12-01,1.63
156,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1998-01-01,0.12
157,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1998-02-01,1.8
158,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1998-03-01,1.89
159,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1998-04-01,3.5
160,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1998-05-01,2.08
161,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1998-06-01,1.11
162,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1998-07-01,6.86
163,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1998-08-01,2.42
164,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1998-09-01,1.17
165,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1998-10-01,1.21
166,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1998-11-01,3.1
167,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1998-12-01,0.17
168,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1999-01-01,0.88
169,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1999-02-01,0.03
170,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1999-03-01,1.73
171,USC00143527,"HAYS 1 S, KS US",38.8586,-99.3358,612.6,1999-04-01,3.23
